year,msa,offense_category,count
2005.0,"Carson City, NV M.S.A.",aggravated_assault,263.0
2005.0,"Carson City, NV M.S.A.",burglary,386.0
2005.0,"Carson City, NV M.S.A.",forcible_rape,2.0
2005.0,"Carson City, NV M.S.A.",larceny_theft,948.0
2005.0,"Carson City, NV M.S.A.",motor_vehicle_theft,115.0
2005.0,"Carson City, NV M.S.A.",murder_and_nonnegligent_manslaughter,2.0
2005.0,"Carson City, NV M.S.A.",robbery,27.0
2005.0,"Casper, WY M.S.A.",aggravated_assault,138.0
2005.0,"Casper, WY M.S.A.",burglary,687.0
2005.0,"Casper, WY M.S.A.",forcible_rape,7.0
2005.0,"Casper, WY M.S.A.",larceny_theft,2497.0
2005.0,"Casper, WY M.S.A.",motor_vehicle_theft,131.0
2005.0,"Casper, WY M.S.A.",murder_and_nonnegligent_manslaughter,2.0
2005.0,"Casper, WY M.S.A.",robbery,16.0
2005.0,"Cedar Rapids, IA M.S.A.",aggravated_assault,365.0
2005.0,"Cedar Rapids, IA M.S.A.",burglary,1370.0
2005.0,"Cedar Rapids, IA M.S.A.",forcible_rape,63.0
2005.0,"Cedar Rapids, IA M.S.A.",larceny_theft,5799.0
2005.0,"Cedar Rapids, IA M.S.A.",motor_vehicle_theft,380.0
2005.0,"Cedar Rapids, IA M.S.A.",murder_and_nonnegligent_manslaughter,1.0
2005.0,"Cedar Rapids, IA M.S.A.",robbery,124.0
