year,month,day,OFFENSE,count
2008,3,30,MOTOR VEHICLE THEFT,15
2008,3,30,ROBBERY,8
2008,3,30,THEFT/OTHER,36
2008,3,31,ASSAULT W/DANGEROUS WEAPON,8
2008,3,31,BURGLARY,18
2008,3,31,MOTOR VEHICLE THEFT,14
2008,3,31,ROBBERY,15
2008,3,31,THEFT/OTHER,40
2008,4,1,ARSON,2
2008,4,1,ASSAULT W/DANGEROUS WEAPON,9
2008,4,1,BURGLARY,13
2008,4,1,HOMICIDE,2
2008,4,1,MOTOR VEHICLE THEFT,11
2008,4,1,ROBBERY,17
2008,4,1,SEX ABUSE,1
2008,4,1,THEFT/OTHER,30
2008,4,2,ASSAULT W/DANGEROUS WEAPON,7
2008,4,2,BURGLARY,13
2008,4,2,HOMICIDE,1
2008,4,2,MOTOR VEHICLE THEFT,12
2008,4,2,ROBBERY,10
2008,4,2,THEFT/OTHER,28
2008,4,3,ARSON,1
2008,4,3,ASSAULT W/DANGEROUS WEAPON,6
2008,4,3,BURGLARY,9
2008,4,3,HOMICIDE,1
2008,4,3,MOTOR VEHICLE THEFT,12
2008,4,3,ROBBERY,15
2008,4,3,THEFT/OTHER,25
2008,4,4,ASSAULT W/DANGEROUS WEAPON,2
2008,4,4,BURGLARY,18
2008,4,4,MOTOR VEHICLE THEFT,10
2008,4,4,ROBBERY,14
2008,4,4,THEFT/OTHER,48
2008,4,5,ASSAULT W/DANGEROUS WEAPON,6
2008,4,5,BURGLARY,9
2008,4,5,MOTOR VEHICLE THEFT,16
2008,4,5,ROBBERY,12
2008,4,5,SEX ABUSE,1
2008,4,5,THEFT/OTHER,42
2008,4,6,ASSAULT W/DANGEROUS WEAPON,7
2008,4,6,BURGLARY,13
2008,4,6,MOTOR VEHICLE THEFT,13
2008,4,6,ROBBERY,9
2008,4,6,THEFT/OTHER,49
2008,4,7,ASSAULT W/DANGEROUS WEAPON,7
2008,4,7,BURGLARY,22
2008,4,7,MOTOR VEHICLE THEFT,11
2008,4,7,ROBBERY,12
2008,4,7,THEFT/OTHER,40
2008,4,8,ARSON,1
2008,4,8,ASSAULT W/DANGEROUS WEAPON,8
2008,4,8,BURGLARY,21
2008,4,8,MOTOR VEHICLE THEFT,18
2008,4,8,ROBBERY,7
2008,4,8,SEX ABUSE,2
2008,4,8,THEFT/OTHER,34
2008,4,9,ARSON,1
2008,4,9,ASSAULT W/DANGEROUS WEAPON,6
2008,4,9,BURGLARY,12
2008,4,9,MOTOR VEHICLE THEFT,15
2008,4,9,ROBBERY,13
2008,4,9,THEFT/OTHER,49
2008,4,10,ASSAULT W/DANGEROUS WEAPON,5
2008,4,10,BURGLARY,13
2008,4,10,MOTOR VEHICLE THEFT,11
2008,4,10,ROBBERY,7
2008,4,10,THEFT/OTHER,35
2008,4,11,ASSAULT W/DANGEROUS WEAPON,8
2008,4,11,BURGLARY,6
2008,4,11,MOTOR VEHICLE THEFT,14
2008,4,11,ROBBERY,14
2008,4,11,SEX ABUSE,1
2008,4,11,THEFT/OTHER,34
2008,4,12,ASSAULT W/DANGEROUS WEAPON,7
2008,4,12,BURGLARY,7
2008,4,12,MOTOR VEHICLE THEFT,14
2008,4,12,ROBBERY,12
2008,4,12,THEFT/OTHER,46
2008,4,13,ASSAULT W/DANGEROUS WEAPON,11
2008,4,13,BURGLARY,12
2008,4,13,HOMICIDE,1
2008,4,13,MOTOR VEHICLE THEFT,9
2008,4,13,ROBBERY,12
2008,4,13,THEFT/OTHER,44
2008,4,14,ASSAULT W/DANGEROUS WEAPON,10
2008,4,14,BURGLARY,13
2008,4,14,MOTOR VEHICLE THEFT,15
2008,4,14,ROBBERY,14
2008,4,14,THEFT/OTHER,39
2008,4,15,ASSAULT W/DANGEROUS WEAPON,9
2008,4,15,BURGLARY,14
2008,4,15,HOMICIDE,2
2008,4,15,MOTOR VEHICLE THEFT,9
2008,4,15,ROBBERY,16
2008,4,15,THEFT/OTHER,44
2008,4,16,ASSAULT W/DANGEROUS WEAPON,8
2008,4,16,BURGLARY,8
2008,4,16,HOMICIDE,2
2008,4,16,MOTOR VEHICLE THEFT,16
2008,4,16,ROBBERY,14
2008,4,16,SEX ABUSE,1
2008,4,16,THEFT/OTHER,37
2008,4,17,ASSAULT W/DANGEROUS WEAPON,2
2008,4,17,BURGLARY,10
2008,4,17,HOMICIDE,2
2008,4,17,MOTOR VEHICLE THEFT,22
2008,4,17,ROBBERY,12
2008,4,17,SEX ABUSE,1
2008,4,17,THEFT/OTHER,33
2008,4,18,ASSAULT W/DANGEROUS WEAPON,9
2008,4,18,BURGLARY,15
2008,4,18,MOTOR VEHICLE THEFT,19
2008,4,18,ROBBERY,14
2008,4,18,SEX ABUSE,1
2008,4,18,THEFT/OTHER,40
2008,4,19,ASSAULT W/DANGEROUS WEAPON,12
2008,4,19,BURGLARY,4
2008,4,19,MOTOR VEHICLE THEFT,21
2008,4,19,ROBBERY,12
2008,4,19,THEFT/OTHER,53
2008,4,20,ARSON,1
2008,4,20,ASSAULT W/DANGEROUS WEAPON,10
2008,4,20,BURGLARY,10
2008,4,20,HOMICIDE,1
2008,4,20,MOTOR VEHICLE THEFT,14
2008,4,20,ROBBERY,25
2008,4,20,THEFT/OTHER,38
2008,4,21,ASSAULT W/DANGEROUS WEAPON,12
2008,4,21,BURGLARY,19
2008,4,21,HOMICIDE,2
2008,4,21,MOTOR VEHICLE THEFT,16
2008,4,21,ROBBERY,12
2008,4,21,THEFT/OTHER,63
2008,4,22,ASSAULT W/DANGEROUS WEAPON,11
2008,4,22,BURGLARY,5
2008,4,22,HOMICIDE,1
2008,4,22,MOTOR VEHICLE THEFT,18
2008,4,22,ROBBERY,10
2008,4,22,THEFT/OTHER,48
2008,4,23,ASSAULT W/DANGEROUS WEAPON,12
2008,4,23,BURGLARY,19
2008,4,23,MOTOR VEHICLE THEFT,14
2008,4,23,ROBBERY,11
2008,4,23,SEX ABUSE,1
2008,4,23,THEFT/OTHER,47
2008,4,24,ASSAULT W/DANGEROUS WEAPON,11
2008,4,24,BURGLARY,13
2008,4,24,MOTOR VEHICLE THEFT,12
2008,4,24,ROBBERY,10
2008,4,24,THEFT/OTHER,60
2008,4,25,ASSAULT W/DANGEROUS WEAPON,6
2008,4,25,BURGLARY,13
2008,4,25,MOTOR VEHICLE THEFT,14
2008,4,25,ROBBERY,6
2008,4,25,SEX ABUSE,2
2008,4,25,THEFT/OTHER,60
2008,4,26,ASSAULT W/DANGEROUS WEAPON,16
2008,4,26,BURGLARY,15
2008,4,26,HOMICIDE,4
2008,4,26,MOTOR VEHICLE THEFT,19
2008,4,26,ROBBERY,8
2008,4,26,THEFT/OTHER,44
2008,4,27,ASSAULT W/DANGEROUS WEAPON,5
2008,4,27,BURGLARY,8
2008,4,27,MOTOR VEHICLE THEFT,14
2008,4,27,ROBBERY,14
2008,4,27,THEFT/OTHER,30
