,year,month,day,category,count
542,2017,2,1,burglary,59
543,2017,2,1,child-related crimes,6
544,2017,2,1,disorderly conduct,8
545,2017,2,1,driving under the influence,9
546,2017,2,1,drug possession,35
547,2017,2,1,drunk in public,12
548,2017,2,1,fraud,5
549,2017,2,1,illegal conceal or carry of weapon,3
550,2017,2,1,"illegal sales, manufacture, or transport",3
551,2017,2,1,motor vehicle theft,55
552,2017,2,1,murder,2
553,2017,2,1,other,57
554,2017,2,1,"sex crimes, not child-related",5
555,2017,2,1,theft,84
556,2017,2,1,vandalism,35
557,2017,2,1,weapon-related crime,2
558,2017,2,10,arson,1
559,2017,2,10,assault,6
560,2017,2,10,battery,20
561,2017,2,10,burglary,65
562,2017,2,10,child-related crimes,3
563,2017,2,10,disorderly conduct,7
564,2017,2,10,driving under the influence,7
565,2017,2,10,drug possession,42
566,2017,2,10,drunk in public,9
567,2017,2,10,fraud,2
568,2017,2,10,illegal conceal or carry of weapon,6
569,2017,2,10,"illegal sales, manufacture, or transport",4
570,2017,2,10,motor vehicle theft,40
571,2017,2,10,other,39
572,2017,2,10,"sex crimes, not child-related",6
573,2017,2,10,theft,87
574,2017,2,10,vandalism,35
575,2017,2,10,weapon-related crime,6
576,2017,2,11,arson,1
577,2017,2,11,assault,8
578,2017,2,11,attempted murder,1
579,2017,2,11,battery,26
580,2017,2,11,burglary,43
581,2017,2,11,child-related crimes,3
582,2017,2,11,disorderly conduct,5
583,2017,2,11,driving under the influence,12
584,2017,2,11,drug possession,41
585,2017,2,11,drunk in public,11
586,2017,2,11,fraud,5
587,2017,2,11,illegal conceal or carry of weapon,6
588,2017,2,11,"illegal sales, manufacture, or transport",3
589,2017,2,11,motor vehicle theft,46
590,2017,2,11,murder,1
591,2017,2,11,other,30
592,2017,2,11,"sex crimes, not child-related",3
593,2017,2,11,theft,67
594,2017,2,11,vandalism,26
595,2017,2,11,weapon-related crime,2
596,2017,2,12,arson,1
597,2017,2,12,assault,10
598,2017,2,12,battery,22
599,2017,2,12,burglary,49
600,2017,2,12,disorderly conduct,7
601,2017,2,12,driving under the influence,12
602,2017,2,12,drug possession,29
603,2017,2,12,drunk in public,22
604,2017,2,12,fraud,1
605,2017,2,12,illegal conceal or carry of weapon,7
606,2017,2,12,"illegal sales, manufacture, or transport",1
607,2017,2,12,motor vehicle theft,38
608,2017,2,12,other,37
609,2017,2,12,"sex crimes, not child-related",2
610,2017,2,12,theft,61
611,2017,2,12,vandalism,28
612,2017,2,12,weapon-related crime,1
613,2017,2,13,assault,7
614,2017,2,13,battery,17
615,2017,2,13,burglary,58
616,2017,2,13,child-related crimes,1
617,2017,2,13,disorderly conduct,6
618,2017,2,13,driving under the influence,9
619,2017,2,13,drug possession,42
620,2017,2,13,drunk in public,16
621,2017,2,13,fraud,5
622,2017,2,13,illegal conceal or carry of weapon,2
623,2017,2,13,"illegal sales, manufacture, or transport",3
